RowId,200~Jaro-Winkler,200~BiGrams,200~TriGrams,200~Metaphone,201~Jaro-Winkler,201~BiGrams,201~TriGrams,201~Metaphone,202~Jaro-Winkler,202~BiGrams,202~TriGrams,202~Metaphone,203~Jaro-Winkler,203~BiGrams,203~TriGrams,203~Metaphone,204~Jaro-Winkler,204~BiGrams,204~TriGrams,204~Metaphone,205~Jaro-Winkler,205~BiGrams,205~TriGrams,205~Metaphone,206~PercentMatched,207~Jaro-Winkler,207~BiGrams,207~TriGrams,207~Metaphone,208~Jaro-Winkler,208~BiGrams,208~TriGrams,208~Metaphone,210~IsSameValue,211~IsSameValue,212~AreaMatching,213~AreaMatching
20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.53,0.03,0.00,0.58,0.49,0.03,0.00,0.51,0.61,0.11,0.04,0.68,0.67,0.75,0.16,0.11,0.77,0.34,0.00,0.00,0.53,0.00,0.00,0.04,0.61
21.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.40,0.00,0.00,0.46,0.42,0.00,0.00,0.35,0.56,0.11,0.00,0.79,0.00,0.50,0.07,0.00,0.52,0.54,0.00,0.00,0.51,0.00,0.00,0.04,0.61
22.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.40,0.00,0.00,0.46,0.42,0.00,0.00,0.35,0.56,0.11,0.00,0.79,0.00,0.50,0.07,0.00,0.52,0.54,0.00,0.00,0.51,0.00,0.00,0.04,0.45
23.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.40,0.00,0.00,0.46,0.42,0.00,0.00,0.35,0.56,0.11,0.00,0.79,0.00,0.50,0.07,0.00,0.52,0.54,0.00,0.00,0.51,0.00,0.00,0.04,0.69
24.00,0.67,0.67,0.67,0.67,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,,,,,,,,,0.44,0.06,0.00,0.38,0.00,0.46,0.07,0.00,0.36,0.35,0.00,0.00,0.00,0.00,0.00,0.04,0.61
25.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.44,0.06,0.00,0.38,0.46,0.07,0.00,0.36,0.44,0.06,0.00,0.38,0.00,0.46,0.07,0.00,0.36,0.35,0.00,0.00,0.00,0.00,0.00,0.04,0.44
26.00,0.67,0.67,0.67,0.67,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.61,0.07,0.00,0.70,0.53,0.04,0.00,0.60,0.62,0.10,0.07,0.36,0.00,0.51,0.03,0.00,0.57,0.43,0.00,0.00,0.00,0.00,0.00,0.04,0.51
27.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.40,0.00,0.00,0.46,0.42,0.00,0.00,0.35,0.52,0.05,0.00,0.51,0.00,0.50,0.07,0.00,0.52,0.54,0.00,0.00,0.51,0.00,0.00,0.04,0.40
28.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.53,0.03,0.00,0.58,0.49,0.03,0.00,0.51,0.61,0.11,0.04,0.68,0.67,0.75,0.16,0.11,0.77,0.34,0.00,0.00,0.53,0.00,0.00,0.04,0.61
29.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.60,0.00,0.00,0.24,0.48,0.09,0.00,0.43,0.60,0.00,0.00,0.24,0.00,0.48,0.09,0.00,0.43,0.35,0.00,0.00,0.00,0.00,0.00,0.04,0.61
30.00,0.67,0.67,0.67,0.67,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.38,0.00,0.00,0.46,0.38,0.05,0.00,0.46,0.51,0.00,0.00,0.39,0.00,0.53,0.07,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.61
31.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.61,0.07,0.00,0.70,0.53,0.04,0.00,0.60,,,,,,,,,,0.56,0.00,0.00,0.00,0.00,0.00,0.04,0.61
32.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.40,0.00,0.00,0.46,0.42,0.00,0.00,0.35,0.50,0.06,0.00,0.68,0.00,0.24,0.03,0.00,0.28,0.54,0.00,0.00,0.51,0.00,0.00,0.04,0.40
33.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.40,0.00,0.00,0.46,0.42,0.00,0.00,0.35,0.56,0.11,0.00,0.79,0.00,0.50,0.07,0.00,0.52,0.54,0.00,0.00,0.51,0.00,0.00,0.04,0.61
34.00,0.67,0.67,0.67,0.67,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.61,0.07,0.00,0.70,0.53,0.04,0.00,0.60,0.52,0.00,0.00,0.58,0.00,0.63,0.13,0.11,0.65,0.56,0.00,0.00,0.00,0.00,0.00,0.04,0.40
35.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.51,0.00,0.00,0.56,0.54,0.10,0.00,0.66,0.41,0.00,0.00,0.44,0.00,0.39,0.00,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.61
36.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.40,0.00,0.00,0.46,0.42,0.00,0.00,0.35,0.50,0.06,0.00,0.68,0.00,0.24,0.03,0.00,0.28,0.54,0.00,0.00,0.51,0.00,0.00,0.04,0.40
37.00,0.67,0.67,0.67,0.67,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.61,0.07,0.00,0.70,0.53,0.04,0.00,0.60,0.62,0.10,0.07,0.36,0.00,0.51,0.03,0.00,0.57,0.43,0.00,0.00,0.00,0.00,0.00,0.04,0.69
38.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.40,0.00,0.00,0.46,0.42,0.00,0.00,0.35,0.55,0.05,0.00,0.61,0.00,0.47,0.03,0.00,0.53,0.54,0.00,0.00,0.51,0.00,0.00,0.04,0.40
39.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.40,0.00,0.00,0.46,0.42,0.00,0.00,0.35,0.52,0.05,0.00,0.51,0.00,0.50,0.07,0.00,0.52,0.54,0.00,0.00,0.51,0.00,0.00,0.04,0.40
40.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.40,0.00,0.00,0.46,0.42,0.00,0.00,0.35,0.50,0.06,0.00,0.68,0.00,0.24,0.03,0.00,0.28,0.54,0.00,0.00,0.51,0.00,0.00,0.04,0.40
41.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.53,0.03,0.00,0.58,0.49,0.03,0.00,0.51,0.61,0.11,0.04,0.68,0.67,0.75,0.16,0.11,0.77,0.34,0.00,0.00,0.53,0.00,0.00,0.04,0.44
42.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.40,0.00,0.00,0.46,0.42,0.00,0.00,0.35,0.56,0.11,0.00,0.79,0.00,0.50,0.07,0.00,0.52,0.54,0.00,0.00,0.51,0.00,0.00,0.04,0.53
43.00,0.67,0.67,0.67,0.67,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,,,,,,,,,0.44,0.06,0.00,0.38,0.00,0.46,0.07,0.00,0.36,0.35,0.00,0.00,0.00,0.00,0.00,0.04,0.40
44.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.40,0.00,0.00,0.46,0.42,0.00,0.00,0.35,0.56,0.11,0.00,0.79,0.00,0.50,0.07,0.00,0.52,0.54,0.00,0.00,0.51,0.00,0.00,0.04,0.40
45.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.43,0.08,0.00,0.50,0.58,0.08,0.00,0.51,0.69,0.27,0.20,0.82,0.00,0.49,0.00,0.00,0.73,0.59,0.00,0.00,0.51,0.00,,0.04,0.40
46.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.71,0.37,0.25,0.82,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.53,0.46,0.00,0.00,0.72,0.35,0.00,0.00,0.00,1.00,,0.19,0.44
47.00,1.00,1.00,1.00,1.00,,,,,,,,,0.62,0.16,0.00,0.76,0.75,0.75,0.75,0.75,0.46,0.00,0.00,0.61,0.60,0.51,0.06,0.00,0.50,1.00,1.00,1.00,1.00,1.00,,1.00,0.40
48.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.67,0.24,0.00,0.89,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.33,0.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,0.59
49.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.52,0.02,0.00,0.54,0.48,0.00,0.00,0.43,,,,,,,,,,0.35,0.00,0.00,0.00,1.00,,0.19,0.61
50.00,1.00,1.00,1.00,1.00,,,,,,,,,0.62,0.16,0.00,0.76,0.75,0.75,0.75,0.75,0.46,0.00,0.00,0.61,0.60,0.51,0.06,0.00,0.50,1.00,1.00,1.00,1.00,1.00,,1.00,0.62
51.00,1.00,1.00,1.00,1.00,,,,,,,,,0.62,0.16,0.00,0.76,0.75,0.75,0.75,0.75,0.46,0.00,0.00,0.61,0.60,0.51,0.06,0.00,0.50,1.00,1.00,1.00,1.00,1.00,,1.00,0.61
52.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.60,0.13,0.00,0.73,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.00,0.53,0.06,0.00,0.66,0.43,0.00,0.00,0.00,0.00,,,0.40
53.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,,,,,,,,,,0.35,0.00,0.00,0.00,1.00,,0.19,0.51
54.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.62,0.16,0.00,0.76,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,1.00,0.35,0.25,0.00,0.75,1.00,1.00,1.00,1.00,1.00,,1.00,0.61
55.00,1.00,1.00,1.00,1.00,,,,,,,,,0.62,0.16,0.00,0.76,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,1.00,0.35,0.25,0.00,0.75,1.00,1.00,1.00,1.00,1.00,,1.00,
56.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.54,0.12,0.00,0.47,1.00,1.00,1.00,1.00,,,,,,,,,,0.35,0.00,0.00,0.00,1.00,,0.19,0.45
57.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.67,0.24,0.00,0.89,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.33,0.00,1.00,0.52,0.14,0.08,0.00,0.00,,,0.44
58.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.67,0.24,0.00,0.89,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.33,0.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,0.40
59.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.54,0.12,0.00,0.47,1.00,1.00,1.00,1.00,,,,,,,,,,0.35,0.00,0.00,0.00,1.00,,0.19,0.61
60.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.58,0.00,0.00,0.67,0.48,0.00,0.00,0.58,0.43,0.06,0.00,0.75,0.40,0.63,0.07,0.00,0.57,0.54,0.00,0.00,0.53,1.00,,0.19,0.40
61.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.67,0.24,0.00,0.89,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.48,0.00,0.00,0.72,1.00,1.00,1.00,1.00,1.00,,1.00,0.40
62.00,1.00,1.00,1.00,1.00,,,,,,,,,0.62,0.16,0.00,0.76,0.75,0.75,0.75,0.75,0.46,0.00,0.00,0.61,0.60,0.51,0.06,0.00,0.50,1.00,1.00,1.00,1.00,1.00,,1.00,0.40
63.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.62,0.16,0.00,0.76,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,1.00,0.35,0.25,0.00,0.75,1.00,1.00,1.00,1.00,1.00,,1.00,0.40
64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.41,0.08,0.00,0.43,0.66,0.08,0.00,0.58,,,,,,,,,,0.35,0.00,0.00,0.00,1.00,,0.19,0.40
65.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,1.00,0.00,0.33,0.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,0.61
66.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.44,0.04,0.00,0.56,0.93,0.75,0.67,0.96,,,,,,,,,,0.35,0.00,0.00,0.00,1.00,,0.19,0.61
67.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.62,0.16,0.00,0.76,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.00,0.35,0.25,0.00,0.75,1.00,1.00,1.00,1.00,1.00,,1.00,0.61
68.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.41,0.08,0.00,0.43,0.66,0.08,0.00,0.58,0.55,0.10,0.00,0.57,0.00,0.58,0.08,0.00,0.43,0.35,0.00,0.00,0.00,1.00,,0.19,0.40
69.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.62,0.16,0.00,0.76,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,1.00,0.00,0.33,0.00,1.00,0.35,0.00,0.00,0.00,1.00,,0.19,0.38
70.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.67,0.24,0.00,0.89,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.33,0.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,0.40
71.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.62,0.16,0.00,0.76,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,1.00,0.42,0.25,0.00,0.75,1.00,1.00,1.00,1.00,1.00,,1.00,0.40
72.00,1.00,1.00,1.00,1.00,,,,,,,,,0.62,0.16,0.00,0.76,0.75,0.75,0.75,0.75,0.46,0.00,0.00,0.61,0.60,0.51,0.06,0.00,0.50,1.00,1.00,1.00,1.00,1.00,,1.00,0.61
73.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.62,0.16,0.00,0.76,0.75,0.75,0.75,0.75,0.91,0.78,0.75,0.90,0.60,0.79,0.50,0.50,0.50,1.00,1.00,1.00,1.00,1.00,,1.00,0.69
74.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.67,0.24,0.00,0.89,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.33,0.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,0.40
75.00,1.00,1.00,1.00,1.00,,,,,,,,,0.62,0.16,0.00,0.76,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,1.00,0.35,0.25,0.00,0.75,1.00,1.00,1.00,1.00,1.00,,1.00,0.44
76.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.62,0.16,0.00,0.76,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,1.00,0.35,0.25,0.00,0.75,1.00,1.00,1.00,1.00,1.00,,1.00,0.40
77.00,1.00,1.00,1.00,1.00,,,,,,,,,0.62,0.16,0.00,0.76,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,1.00,0.35,0.25,0.00,0.75,1.00,1.00,1.00,1.00,1.00,,1.00,0.53
78.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.44,0.06,0.00,0.36,0.36,0.00,0.00,0.35,,,,,,,,,,0.54,0.10,0.00,0.50,0.00,0.00,0.04,0.40
79.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.65,0.07,0.00,0.53,0.52,0.00,0.00,0.23,0.68,0.04,0.00,0.67,0.33,0.38,0.00,0.00,0.58,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.40
80.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.65,0.07,0.00,0.53,0.52,0.00,0.00,0.23,0.68,0.04,0.00,0.67,0.33,0.38,0.00,0.00,0.58,0.51,0.00,0.00,0.00,1.00,0.00,0.19,0.60
81.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.65,0.07,0.00,0.53,0.52,0.00,0.00,0.23,0.86,0.69,0.67,0.87,0.60,0.51,0.05,0.03,0.64,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.40
82.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.65,0.07,0.00,0.53,0.52,0.00,0.00,0.23,0.82,0.36,0.29,0.85,0.80,0.60,0.10,0.00,0.67,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.61
83.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.65,0.07,0.00,0.53,0.52,0.00,0.00,0.23,0.82,0.36,0.29,0.85,1.00,0.38,0.02,0.00,0.45,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.40
84.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.61,0.25,0.15,0.63,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.00,0.46,0.07,0.00,0.63,,,,,,,,0.61
