label,200~Jaro-Winkler,200~BiGrams,200~TriGrams,200~Metaphone,201~Jaro-Winkler,201~BiGrams,201~TriGrams,201~Metaphone,202~Jaro-Winkler,202~BiGrams,202~TriGrams,202~Metaphone,203~Jaro-Winkler,203~BiGrams,203~TriGrams,203~Metaphone,204~Jaro-Winkler,204~BiGrams,204~TriGrams,204~Metaphone,205~Jaro-Winkler,205~BiGrams,205~TriGrams,205~Metaphone,206~PercentMatched,207~Jaro-Winkler,207~BiGrams,207~TriGrams,207~Metaphone,208~Jaro-Winkler,208~BiGrams,208~TriGrams,208~Metaphone,210~IsSameValue,211~IsSameValue,212~AreaMatching,213~AreaMatching
0,1,1,1,1,1,1,1,1,1,1,1,1,0.441468254,0.0625,0,0.375,0.455357143,0.068181818,0,0.3625,0.441468254,0.0625,0,0.375,0,0.455357143,0.068181818,0,0.3625,0.354166667,0,0,0,0,0,0.036363636,0.616931217
0,0.666666667,0.666666667,0.666666667,0.666666667,0.75,0.75,0.75,0.75,1,1,1,1,0.395833333,0,0,0.583333333,0.447916667,0,0,0.383333333,0.597222222,0,0,0.241666667,0,0.479166667,0.09375,0,0.425,0.354166667,0,0,0,0,0,0.036363636,0.529344729
0,0.666666667,0.666666667,0.666666667,0.666666667,1,1,1,1,1,1,1,1,0.608134921,0.069444444,0,0.701388889,0.531944444,0.035714286,0,0.6,0.618350168,0.1,0.071428571,0.361111111,0,0.511994949,0.03125,0,0.572222222,0.425925926,0,0,0,0,0,0.036363636,0.529344729
0,0.666666667,0.666666667,0.666666667,0.666666667,0.75,0.75,0.75,0.75,1,1,1,1,,,,,,,,,,,,,,,,,,0.354166667,0,0,0,0,0,0.036363636,0.616931217
0,1,1,1,1,1,1,1,1,1,1,1,1,0.608134921,0.069444444,0,0.701388889,0.531944444,0.035714286,0,0.6,0.618350168,0.1,0.071428571,0.361111111,0,0.511994949,0.03125,0,0.572222222,0.425925926,0,0,0,0,0,0.036363636,0.529344729
0,1,1,1,1,1,1,1,1,1,1,1,1,0.441468254,0.0625,0,0.375,0.455357143,0.068181818,0,0.3625,0.441468254,0.0625,0,0.375,0,0.455357143,0.068181818,0,0.3625,0.354166667,0,0,0,0,0,0.036363636,0.66984127
0,1,1,1,1,1,1,1,1,1,1,1,1,0.608134921,0.069444444,0,0.701388889,0.531944444,0.035714286,0,0.6,0.618350168,0.1,0.071428571,0.361111111,0,0.511994949,0.03125,0,0.572222222,0.425925926,0,0,0,0,0,0.036363636,0.66984127
0,1,1,1,1,1,1,1,1,1,1,1,1,0.441468254,0.0625,0,0.375,0.455357143,0.068181818,0,0.3625,0.441468254,0.0625,0,0.375,0,0.455357143,0.068181818,0,0.3625,0.354166667,0,0,0,0,0,0.036363636,0.616931217
0,1,1,1,1,1,1,1,1,1,1,1,1,0.395833333,0,0,0.458333333,0.416666667,0,0,0.354166667,0.550673401,0.045454545,0,0.611111111,0,0.470328283,0.025,0,0.533333333,0.53968254,0,0,0.511111111,0,0,0.036363636,0.647751323
0,1,1,1,1,1,1,1,1,1,1,1,1,0.608134921,0.069444444,0,0.701388889,0.531944444,0.035714286,0,0.6,0.618350168,0.1,0.071428571,0.361111111,0,0.511994949,0.03125,0,0.572222222,0.425925926,0,0,0,0,0,0.036363636,0.647751323
